repo_fullname,commits_avg_added,commits_avg_files_changed,commits_avg_message_length,commits_avg_per_day_real,commits_avg_removed,commits_count,commits_days_since_first,commits_days_since_last,commits_max_per_day,commits_total_lines_added,commits_total_lines_removed,contributors_count,contributors_top_avg_additions,contributors_top_avg_commits,contributors_top_avg_deletions,contributors_top_avg_participation_week,forks_avg_max_per_day,forks_count,issues_avg_body_length,issues_avg_comment_length,issues_avg_comments,issues_avg_labels,issues_avg_per_day,issues_avg_per_day_real,issues_avg_title_length,issues_count,issues_labels,issues_max_per_day,issues_open,issues_total_comments,pulls_avg_body_length,pulls_avg_comments,pulls_avg_Commits,pulls_avg_created_per_day_real,pulls_avg_files_changed,pulls_avg_labels,pulls_avg_lines_added,pulls_avg_lines_removed,pulls_avg_review_comments,pulls_avg_title_length,pulls_count,pulls_max_created_per_day,pulls_total_lines_added,pulls_total_lines_removed,releases_avg_assets,releases_avg_assets_downloads,releases_avg_assets_size,releases_avg_body_length,releases_avg_title_length,releases_count,releases_tags,releases_total_downloads,repo_age_days,repo_branches,repo_deployments,repo_languages,repo_milestones,repo_network_members,repo_readme_length,repo_size,repo_topics,repo_watchers,repo_workflows,stars_avg_per_day_real,stars_count,stars_max_per_day,wf_avg_duration,wf_avg_fails_per_day,wf_avg_failure_duration,wf_avg_success_duration,wf_avg_successes_per_day_real,wf_count,labels
A13253565831/wxapp_newRestaurant,12,1,16,1,12,1,1628,1628,1,12,12,1,942,7,1,1,2,55,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1628,1,0,1,0,55,0,1733,0,143,0,1,143,2,0,0,0,0,0,0,1
cryptokylin/CryptoKylin-Testnet,8,2,22,1,26,1,887,887,1,8,26,22,11,5,4,2,3,53,0,85,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1366,2,0,2,0,53,0,112,7,143,0,1,143,4,0,0,0,0,0,0,1
react-toolbox/react-toolbox-example,38,4,52,2,34,45,2341,1866,6,1702,1530,10,48,3,33,1,2,98,1009,267,2,0,0,1,34,60,2,4,19,170,86,1,1,1,2,0,2321,1,0,55,2,1,4643,2,0,0,0,0,0,0,0,0,2341,1,0,3,0,99,144,41,0,146,0,1,146,3,0,0,0,0,0,0,0
kubernetes/committee-security-response,1,1,63,1,1,1,28,28,1,1,1,23,32,4,13,3,2,56,0,340,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,2,0,0,0,58,0,808,0,143,0,1,100,19,0,0,0,0,0,0,1
xiaolai/help-to-be-helped,48,1,12,4,3,21,791,724,9,999,64,4,47,5,3,1,13,59,25,7,0,0,0,1,11,5,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,791,1,0,0,0,60,43235,968,0,145,0,1,145,19,0,0,0,0,0,0,1
SpaceApps2016/Resources,13,1,20,3,1,41,2187,2122,5,519,47,4,12,10,1,2,4,51,107,19,0,0,0,1,41,4,0,1,1,2,99,0,1,1,1,0,7,1,0,70,1,1,7,1,0,0,0,0,0,0,0,0,2187,1,0,0,0,53,37293,50,0,147,0,3,147,21,0,0,0,0,0,0,0
chschoenenberger/covid19_dashboard,1,1,101,1,1,1,627,627,1,1,1,4,55,17,21,2,8,64,0,151,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752,2,0,1,0,66,0,75,0,143,0,2,143,33,0,0,0,0,0,0,1
sirkitree/angular-directive.g-signin,13,1,63,3,8,77,3259,1812,23,1029,612,17,9,2,5,1,2,87,304,205,1,0,0,1,36,69,5,4,17,123,68,0,2,1,1,0,4,2,0,41,3,1,13,7,0,0,0,0,0,0,0,0,3259,2,0,3,0,88,2477,38,0,147,0,1,147,4,0,0,0,0,0,0,0
jorgevgut/airquality-mx,108,4,218,4,9,32,723,709,10,3461,294,0,0,0,0,0,4,51,1129,1176,1,0,0,1,25,3,0,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,723,1,0,2,0,52,3063,82,0,142,0,1,142,15,0,0,0,0,0,0,1
llSourcell/AI_Writer,204,2,16,5,16,9,2113,2111,8,1839,145,2,204,4,16,1,2,96,664,195,2,0,0,1,48,8,0,1,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2113,1,0,1,0,97,2517,377,0,147,0,1,147,2,0,0,0,0,0,0,1
pitiwazou/Scripts-Blender,105,1,37,3,41,205,2865,1851,12,21429,8344,2,131,102,66,21,1,71,177,443,1,0,0,1,29,7,0,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2865,1,0,0,0,71,188,406,0,145,0,1,145,2,0,0,0,0,0,0,1
web3p/ethereum-tx,132,2,46,2,80,77,1519,94,7,10167,6152,3,94,19,59,9,1,50,626,538,1,0,0,1,36,49,8,2,2,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,4,11,11,0,1519,1,0,1,0,53,2644,86,4,142,1,1,142,3,0.036064815,0,0.032974537,0.003090278,2,2,0
samuel/go-opencl,90,4,38,3,25,33,3211,1605,10,2966,819,1,154,32,88,6,1,28,216,169,0,0,0,1,41,11,0,1,9,6,108,0,1,1,8,0,49,5,0,58,4,1,199,21,0,0,0,0,0,0,0,0,3211,1,0,1,0,62,210,46,0,142,0,1,142,3,0,0,0,0,0,0,0
MadStudioRoblox/ProfileService,47,1,36,4,15,150,629,158,31,6986,2257,3,52,47,17,8,2,49,724,352,1,0,0,1,34,28,0,2,3,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629,2,96,1,0,51,2494,1227,0,142,1,1,142,5,0.019820602,0,0,0.019820602,2,2,0
0xPrateek/Stardox,24,1,35,3,8,104,1179,22,16,2499,824,5,25,18,9,4,20,64,238,300,2,0,0,1,33,57,18,5,1,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179,3,0,1,0,68,3531,143,10,143,0,1,143,9,0,0,0,0,0,0,1
chingyawhao/materialize-clockpicker,0,2,38,1,0,1,1432,1432,1,0,0,7,777,1,391,1,2,75,243,162,1,0,0,1,34,41,0,2,24,73,211,1,9,1,7,0,113,39,1,15,2,1,226,79,0,17,72363,34,3,4,4,34,2402,1,0,3,0,77,0,1716,0,143,0,1,143,3,0,0,0,0,0,0,0
sintrb/WaveAccess,59,2,12,5,30,32,2901,2879,13,1880,952,1,71,32,42,4,1,84,93,30,2,0,0,1,17,2,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2901,1,0,1,0,84,2401,1309,0,149,0,1,149,2,0,0,0,0,0,0,1
neoremind/coddding,284,3,13,3,11,305,2083,189,12,86544,3456,1,234,388,16,68,3,71,0,84,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2758,8,0,3,0,71,0,1566,0,142,0,1,142,3,0,0,0,0,0,0,1
skavinvarnan/Cross-Platform-AES,1,1,67,1,1,1,802,802,1,1,1,2,102,5,34,2,2,68,0,173,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,1,0,1865,1,0,6,0,69,0,22,14,141,0,0,0,0,0,0,0,0,0,0,0
JeffHoogland/pyxhook,69,1,51,2,42,28,2731,1429,4,1928,1182,9,79,2,50,1,1,73,444,201,1,0,0,1,30,31,0,2,8,47,246,0,2,1,1,0,13,8,0,49,1,1,13,8,0,0,0,0,0,0,0,0,2731,1,0,1,0,73,357,32,0,147,0,1,147,5,0,0,0,0,0,0,0
notanumber/xapian-haystack,3,2,29,1,3,1,13,13,1,3,3,16,32,33,28,6,0,0,0,286,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4672,2,0,2,0,88,4710,712,0,146,0,1,100,37,0,0,0,0,0,0,1
Crowd9/Benchmark,8,1,32,2,4,108,3636,2220,9,815,440,5,8,16,4,4,3,66,300,190,1,0,0,1,30,22,3,1,11,27,45,0,2,1,1,0,5,3,0,21,2,1,10,7,0,0,0,0,0,0,0,0,3636,2,0,1,0,67,1473,720,0,147,0,1,147,13,0,0,0,0,0,0,0
