Repository,Cluster,Respondent 1,Respondent 2,Respondent 3,Respondent 4,Respondent 5,Respondent 6,Respondent 7,Respondent 8,Respondent 9,Respondent 10,Respondent 11,Respondent 12,Respondent 13,Respondent 14,Respondent 15,Respondent 16,Respondent 17,Respondent 18,Respondent 19,Respondent 20
JeffHoogland/pyxhook,1,Yes,Yes,"Better than previous (at least activity from users), but again seems not supported. Poor readme",There’s no project setup instructions," legacy, no contributions nowadays ",Yes,small description in readme,Yes,I don't understand the idea of this project,"poor readme, last commit is 5 years old",Yes,Yes,"poor structure and description, seems to be abandoned",not enough explanation of the project,,Yes,Yes,Yes,,"Code is quite crappy, updated long time ago, no PyPi package distributed from repo"
Johankoi/MachoSignature,1,"Language barrier, I cannot understand the description of the repository",chinese,I understand nothing (chinise),Project is in Chinese which I do not understand ,Language,Yes,Chinesseeee....,"Swift, Chineese",I don't understand the idea of this project,English please!,"No because I don't know Chinese, and Swift",Chinese documentation,hate iOS and everything related,Readme is not in English,,Yes,Yes,Poor project organization.,,Do not understand practical use of the project
hagen1778/grafana-import-export,1,Not interested in the topic,no tests,seems interesting,Yes," legacy, no contributions nowadays ",Yes,Yes,Yes,Yes,Yes,No because I don't use Grafana (first time I hear about it),Yes,never heard of grafana,Yes,,Yes,Yes,Yes,,Yes
elm/http,1,Yes,no tests,Yes,Yes," legacy, no contributions nowadays ",don't know elm not interested,,Yes,Yes,"I don't know this PL, but repo looks cool",No because the used tech (at least PL) is unpopular and is likely to die,Yes,Some made-up language,Yes,Yes,Yes,Yes,Yes,Yes,Yes
thanhniencung/LuckyWheel,1,Many old open issues,Yes,Yes,It is in a language I am not comfortable with," legacy, no contributions nowadays ",Yes,Yes,Android,Yes,Yes,Yes,Yes,java no way,do not see sense in the program,,Yes,Yes,"Readme doesn't show anything about what this repo is and what is for. Also, features list is missing.",,Yes
naro143/hugo-coder-portfolio,1,Yes,Yes,Yes,Yes," legacy, no contributions nowadays ",no big meaning behind,Yes,Frontend,Yes,Yes,Not a big fan of front-end development,Yes,Yes,Yes,,Yes,Yes,"It is a product which is individualistic, not a tool.",Yes,Yes
brandicted/scrapy-webdriver,1,Yes,Yes,Don't want to deal with legacy buggy project,Yes," legacy, no contributions nowadays ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Seems like there are a lot of bugs, why would I contribute to it",,Yes,Yes,Yes,,Got maintained alternative
microsoft/winstore-jscompat,1,Archived by the owner,Yes,"Despite that project is well described, I won't because the team (contributors) seems not very skilled","No, the project has been archived by the owner",archived,Yes,Yes,JS,I don't know JS,read-only repo :),"""This repository has been archived by the owner. It is now read-only.""",Very old project,"no longer maintained, also seem to not resolve PRs and issues",the topic is not interesting for me,,Yes,Yes,"No, it's outdated.",Yes,"That's for Win8, that was put in trash"
OriginalEXE/Switcheroo,1,"Archived by the owner, only 1 contributor",Yes,Dead,The world has moved from jquery),archived,Yes,Yes,Frontend,Yes,read-only :),"""This project is no longer maintained!""","I dont like codestyle, documentation is poor",Contribution asked is only about bugs; project is no longer maintained by the way,Yes,,Yes,,Yes,,"It is archived, last updated an eternity ago"
Fundoo-Solutions/angularjs-modal-service,1,Yes,Yes,Nothing to do here: seems like done and closed many years ago,It uses a very old and officially deprecated version of angular (angular js)," legacy, no contributions nowadays ",Yes,,Frontend,I don't know JS,dont like js,,Very old project,Old and seems abandoned,Yes,,not into angularjs,Yes,Yes,Yes,"AngularJS is heavily deprecated and not used, repo updated 8 years ago"
